,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
0,LA Clippers,Denver Nuggets,502.2016573292555,274.9971772670718,1,103.0,96.0,1
1,Denver Nuggets,LA Clippers,274.9971772670718,502.2016573292555,0,96.0,103.0,0
2,Orlando Magic,Charlotte Hornets,393.34652832374655,416.1904152779973,1,100.0,106.0,0
3,Charlotte Hornets,Orlando Magic,416.1904152779973,393.34652832374655,0,106.0,100.0,1
4,Indiana Pacers,New Orleans Pelicans,555.9214958680748,419.29633772955583,1,105.0,110.0,0
5,New Orleans Pelicans,Indiana Pacers,419.29633772955583,555.9214958680748,0,110.0,105.0,1
6,Miami Heat,Charlotte Hornets,250.33739072154998,292.9580661762775,1,77.0,90.0,0
7,Charlotte Hornets,Miami Heat,292.9580661762775,250.33739072154998,0,90.0,77.0,2
8,Toronto Raptors,LA Clippers,287.9153783352758,318.2513871455692,1,93.0,73.0,1
9,LA Clippers,Toronto Raptors,318.2513871455692,287.9153783352758,0,73.0,93.0,1
10,Los Angeles Lakers,Utah Jazz,214.06681082420818,404.22060925225446,1,71.0,90.0,0
11,Utah Jazz,Los Angeles Lakers,404.22060925225446,214.06681082420818,0,90.0,71.0,1
12,Portland Trail Blazers,Sacramento Kings,305.7882422503727,303.09274490288055,1,105.0,109.0,0
13,Sacramento Kings,Portland Trail Blazers,303.09274490288055,305.7882422503727,0,109.0,105.0,1
14,Golden State Warriors,Toronto Raptors,415.52773079378284,272.0048120492113,1,95.0,87.0,1
15,Toronto Raptors,Golden State Warriors,272.0048120492113,415.52773079378284,0,87.0,95.0,1
16,,Boston Celtics,18.652929034094946,648.6767136307492,1,91.0,124.0,0
17,Boston Celtics,,648.6767136307492,18.652929034094946,0,124.0,91.0,1
18,Washington Wizards,Philadelphia 76ers,462.2342066973398,391.25110373238584,1,129.0,95.0,1
19,Philadelphia 76ers,Washington Wizards,391.25110373238584,462.2342066973398,0,95.0,129.0,0
20,Detroit Pistons,Indiana Pacers,320.9713175812138,506.26166654617833,1,112.0,115.0,0
21,Indiana Pacers,Detroit Pistons,506.26166654617833,320.9713175812138,0,115.0,112.0,1
22,Chicago Bulls,Milwaukee Bucks,417.70778175067653,322.770257159678,1,105.0,95.0,1
23,Milwaukee Bucks,Chicago Bulls,322.770257159678,417.70778175067653,0,95.0,105.0,0
24,Memphis Grizzlies,Houston Rockets,275.90705914800145,309.99373546716936,1,92.0,89.0,1
25,Houston Rockets,Memphis Grizzlies,309.99373546716936,275.90705914800145,0,89.0,92.0,0
26,Dallas Mavericks,Denver Nuggets,272.035487944739,300.2672439274078,1,86.0,96.0,0
27,Denver Nuggets,Dallas Mavericks,300.2672439274078,272.035487944739,0,96.0,86.0,1
28,Los Angeles Lakers,Utah Jazz,253.4999233582105,337.498676917217,1,114.0,117.0,0
29,Utah Jazz,Los Angeles Lakers,337.498676917217,253.4999233582105,0,117.0,114.0,2
30,Cleveland Cavaliers,Atlanta Hawks,318.31568585226046,383.1441073835646,1,96.0,98.0,0
31,Atlanta Hawks,Cleveland Cavaliers,383.1441073835646,318.31568585226046,0,98.0,96.0,1
32,Miami Heat,Orlando Magic,371.31742632373715,468.7386083651581,1,97.0,100.0,0
33,Orlando Magic,Miami Heat,468.7386083651581,371.31742632373715,0,100.0,97.0,1
34,Minnesota Timberwolves,Oklahoma City Thunder,414.6318298012121,530.4639781504063,1,99.0,122.0,0
35,Oklahoma City Thunder,Minnesota Timberwolves,530.4639781504063,414.6318298012121,0,122.0,99.0,1
36,Houston Rockets,Dallas Mavericks,301.3639213235603,258.54026810259137,1,109.0,82.0,1
37,Dallas Mavericks,Houston Rockets,258.54026810259137,301.3639213235603,0,82.0,109.0,0
38,Phoenix Suns,Sacramento Kings,434.08078223163056,302.59675559240765,1,102.0,98.0,1
39,Sacramento Kings,Phoenix Suns,302.59675559240765,434.08078223163056,0,98.0,102.0,1
40,Real Madrid Real Madrid,Boston Celtics,25.31340876206741,524.3157989734515,1,96.0,111.0,0
41,Boston Celtics,Real Madrid Real Madrid,524.3157989734515,25.31340876206741,0,111.0,96.0,2
