,game_id,offense_team,defense_team,points_scored,home_team,is_home,yards_gained,yards_allowed,turnovers_given,turnovers_received
0,20240908_ARI@BUF,BUF,ARI,34,BUF,1,352,270,1,1
1,20240908_ARI@BUF,ARI,BUF,28,BUF,0,270,352,1,1
2,20240912_BUF@MIA,MIA,BUF,10,MIA,1,351,247,3,0
3,20240912_BUF@MIA,BUF,MIA,31,MIA,0,247,351,0,3
4,20240923_JAX@BUF,BUF,JAX,47,BUF,1,388,239,0,2
5,20240923_JAX@BUF,JAX,BUF,10,BUF,0,239,388,2,0
6,20240929_BUF@BAL,BAL,BUF,35,BAL,1,427,236,1,1
7,20240929_BUF@BAL,BUF,BAL,10,BAL,0,236,427,1,1
8,20241006_BUF@HOU,HOU,BUF,23,HOU,1,425,276,2,0
9,20241006_BUF@HOU,BUF,HOU,20,HOU,0,276,425,0,2
10,20241014_BUF@NYJ,NYJ,BUF,20,NYJ,1,393,359,1,0
11,20241014_BUF@NYJ,BUF,NYJ,23,NYJ,0,359,393,0,1
12,20241020_TEN@BUF,BUF,TEN,34,BUF,1,389,289,0,2
13,20241020_TEN@BUF,TEN,BUF,10,BUF,0,289,389,2,0
14,20241027_BUF@SEA,SEA,BUF,10,SEA,1,233,445,2,1
15,20241027_BUF@SEA,BUF,SEA,31,SEA,0,445,233,1,2
16,20241103_MIA@BUF,BUF,MIA,30,BUF,1,325,373,1,1
17,20241103_MIA@BUF,MIA,BUF,27,BUF,0,373,325,1,1
18,20241110_BUF@IND,IND,BUF,20,IND,1,361,415,4,2
19,20241110_BUF@IND,BUF,IND,30,IND,0,415,361,2,4
20,20241117_KC@BUF,BUF,KC,30,BUF,1,366,259,1,2
21,20241117_KC@BUF,KC,BUF,21,BUF,0,259,366,2,1
22,20241201_SF@BUF,BUF,SF,35,BUF,1,372,239,0,3
23,20241201_SF@BUF,SF,BUF,10,BUF,0,239,372,3,0
24,20241208_BUF@LAR,LAR,BUF,44,LAR,1,457,445,0,0
25,20241208_BUF@LAR,BUF,LAR,42,LAR,0,445,457,0,0
26,20241215_BUF@DET,DET,BUF,42,DET,1,521,559,1,0
27,20241215_BUF@DET,BUF,DET,48,DET,0,559,521,0,1
28,20241222_NE@BUF,BUF,NE,24,BUF,1,324,379,1,3
29,20241222_NE@BUF,NE,BUF,21,BUF,0,379,324,3,1
30,20241229_NYJ@BUF,BUF,NYJ,40,BUF,1,348,281,0,3
31,20241229_NYJ@BUF,NYJ,BUF,14,BUF,0,281,348,3,0
32,20250105_BUF@NE,NE,BUF,23,NE,1,309,259,1,0
33,20250105_BUF@NE,BUF,NE,16,NE,0,259,309,0,1
34,20250112_DEN@BUF,BUF,DEN,31,BUF,1,471,224,0,0
35,20250112_DEN@BUF,DEN,BUF,7,BUF,0,224,471,0,0
36,20250119_BAL@BUF,BUF,BAL,21,BUF,1,156,219,0,2
37,20250119_BAL@BUF,BAL,BUF,10,BUF,0,219,156,2,0
38,20240908_JAX@MIA,MIA,JAX,20,MIA,1,400,267,0,1
39,20240908_JAX@MIA,JAX,MIA,17,MIA,0,267,400,1,0
40,20240922_MIA@SEA,SEA,MIA,24,SEA,1,370,205,2,0
41,20240922_MIA@SEA,MIA,SEA,3,SEA,0,205,370,0,2
42,20240930_TEN@MIA,MIA,TEN,12,MIA,1,184,244,1,1
43,20240930_TEN@MIA,TEN,MIA,31,MIA,0,244,184,1,1
44,20241006_MIA@NE,NE,MIA,10,NE,1,299,372,0,2
45,20241006_MIA@NE,MIA,NE,15,NE,0,372,299,2,0
46,20241020_MIA@IND,IND,MIA,16,IND,1,284,337,1,2
47,20241020_MIA@IND,MIA,IND,10,IND,0,337,284,2,1
48,20241027_ARI@MIA,MIA,ARI,27,MIA,1,377,389,0,0
49,20241027_ARI@MIA,ARI,MIA,28,MIA,0,389,377,0,0
50,20241111_MIA@LAR,LAR,MIA,15,LAR,1,327,238,2,2
51,20241111_MIA@LAR,MIA,LAR,23,LAR,0,238,327,2,2
52,20241117_LV@MIA,MIA,LV,34,MIA,1,353,328,0,1
53,20241117_LV@MIA,LV,MIA,19,MIA,0,328,353,1,0
54,20241124_NE@MIA,MIA,NE,34,MIA,1,373,268,1,2
55,20241124_NE@MIA,NE,MIA,15,MIA,0,268,373,2,1
56,20241128_MIA@GB,GB,MIA,30,GB,1,388,375,0,1
57,20241128_MIA@GB,MIA,GB,17,GB,0,375,388,1,0
58,20241208_NYJ@MIA,MIA,NYJ,32,MIA,1,375,402,0,0
59,20241208_NYJ@MIA,NYJ,MIA,26,MIA,0,402,375,0,0
60,20241215_MIA@HOU,HOU,MIA,20,HOU,1,181,224,1,4
61,20241215_MIA@HOU,MIA,HOU,12,HOU,0,224,181,4,1
62,20241222_SF@MIA,MIA,SF,29,MIA,1,381,374,0,1
63,20241222_SF@MIA,SF,MIA,17,MIA,0,374,381,1,0
64,20241229_MIA@CLE,CLE,MIA,3,CLE,1,276,280,2,0
65,20241229_MIA@CLE,MIA,CLE,20,CLE,0,280,276,0,2
66,20250105_MIA@NYJ,NYJ,MIA,32,NYJ,1,375,334,1,4
67,20250105_MIA@NYJ,MIA,NYJ,20,NYJ,0,334,375,4,1
68,20240909_NYJ@SF,SF,NYJ,32,SF,1,401,266,0,2
69,20240909_NYJ@SF,NYJ,SF,19,SF,0,266,401,2,0
70,20240915_NYJ@TEN,TEN,NYJ,17,TEN,1,300,265,2,0
71,20240915_NYJ@TEN,NYJ,TEN,24,TEN,0,265,300,0,2
72,20240919_NE@NYJ,NYJ,NE,24,NYJ,1,400,139,0,1
73,20240919_NE@NYJ,NE,NYJ,3,NYJ,0,139,400,1,0
74,20240929_DEN@NYJ,NYJ,DEN,9,NYJ,1,248,186,1,1
75,20240929_DEN@NYJ,DEN,NYJ,10,NYJ,0,186,248,1,1
76,20241006_NYJ@MIN,MIN,NYJ,23,MIN,1,253,254,2,3
77,20241006_NYJ@MIN,NYJ,MIN,17,MIN,0,254,253,3,2
78,20241020_NYJ@PIT,PIT,NYJ,37,PIT,1,409,323,0,2
79,20241020_NYJ@PIT,NYJ,PIT,15,PIT,0,323,409,2,0
80,20241027_NYJ@NE,NE,NYJ,25,NE,1,248,336,0,0
81,20241027_NYJ@NE,NYJ,NE,22,NE,0,336,248,0,0
82,20241031_HOU@NYJ,NYJ,HOU,21,NYJ,1,293,322,1,1
83,20241031_HOU@NYJ,HOU,NYJ,13,NYJ,0,322,293,1,1
84,20241110_NYJ@ARI,ARI,NYJ,31,ARI,1,406,207,0,1
85,20241110_NYJ@ARI,NYJ,ARI,6,ARI,0,207,406,1,0
86,20241117_IND@NYJ,NYJ,IND,27,NYJ,1,253,332,0,1
87,20241117_IND@NYJ,IND,NYJ,28,NYJ,0,332,253,1,0
88,20241201_SEA@NYJ,NYJ,SEA,21,NYJ,1,258,259,2,2
89,20241201_SEA@NYJ,SEA,NYJ,26,NYJ,0,259,258,2,2
90,20241215_NYJ@JAX,JAX,NYJ,25,JAX,1,421,400,2,0
91,20241215_NYJ@JAX,NYJ,JAX,32,JAX,0,400,421,0,2
92,20241222_LAR@NYJ,NYJ,LAR,9,NYJ,1,321,242,2,1
93,20241222_LAR@NYJ,LAR,NYJ,19,NYJ,0,242,321,1,2
94,20240908_NE@CIN,CIN,NE,10,CIN,1,224,290,2,0
95,20240908_NE@CIN,NE,CIN,16,CIN,0,290,224,0,2
96,20240915_SEA@NE,NE,SEA,20,NE,1,310,358,0,0
97,20240915_SEA@NE,SEA,NE,23,NE,0,358,310,0,0
98,20240929_NE@SF,SF,NE,30,SF,1,431,216,2,3
99,20240929_NE@SF,NE,SF,13,SF,0,216,431,3,2
100,20241013_HOU@NE,NE,HOU,21,NE,1,291,368,4,1
101,20241013_HOU@NE,HOU,NE,41,NE,0,368,291,1,4
102,20241020_NE@JAX,JAX,NE,32,JAX,1,364,295,0,0
103,20241020_NE@JAX,NE,JAX,16,JAX,0,295,364,0,0
104,20241103_NE@TEN,TEN,NE,20,TEN,1,400,295,1,3
105,20241103_NE@TEN,NE,TEN,17,TEN,0,295,400,3,1
106,20241110_NE@CHI,CHI,NE,3,CHI,1,142,328,0,1
107,20241110_NE@CHI,NE,CHI,19,CHI,0,328,142,1,0
108,20241117_LAR@NE,NE,LAR,22,NE,1,382,402,2,0
109,20241117_LAR@NE,LAR,NE,28,NE,0,402,382,0,2
110,20241201_IND@NE,NE,IND,24,NE,1,422,253,1,2
111,20241201_IND@NE,IND,NE,25,NE,0,253,422,2,1
112,20241215_NE@ARI,ARI,NE,30,ARI,1,395,311,0,1
113,20241215_NE@ARI,NE,ARI,17,ARI,0,311,395,1,0
114,20241228_LAC@NE,NE,LAC,7,NE,1,181,428,1,0
115,20241228_LAC@NE,LAC,NE,40,NE,0,428,181,0,1
116,20240905_BAL@KC,KC,BAL,27,KC,1,353,452,1,1
117,20240905_BAL@KC,BAL,KC,20,KC,0,452,353,1,1
118,20240915_LV@BAL,BAL,LV,23,BAL,1,383,260,1,1
119,20240915_LV@BAL,LV,BAL,26,BAL,0,260,383,1,1
120,20240922_BAL@DAL,DAL,BAL,25,DAL,1,412,456,1,0
121,20240922_BAL@DAL,BAL,DAL,28,DAL,0,456,412,0,1
122,20241006_BAL@CIN,CIN,BAL,38,CIN,1,442,520,1,1
123,20241006_BAL@CIN,BAL,CIN,41,CIN,0,520,442,1,1
124,20241013_WSH@BAL,BAL,WSH,30,BAL,1,484,305,1,0
125,20241013_WSH@BAL,WSH,BAL,23,BAL,0,305,484,0,1
126,20241021_BAL@TB,TB,BAL,31,TB,1,481,508,2,1
127,20241021_BAL@TB,BAL,TB,41,TB,0,508,481,1,2
128,20241027_BAL@CLE,CLE,BAL,29,CLE,1,401,387,1,0
129,20241027_BAL@CLE,BAL,CLE,24,CLE,0,387,401,0,1
130,20241103_DEN@BAL,BAL,DEN,41,BAL,1,396,319,0,1
131,20241103_DEN@BAL,DEN,BAL,10,BAL,0,319,396,1,0
132,20241107_CIN@BAL,BAL,CIN,35,BAL,1,389,470,0,1
133,20241107_CIN@BAL,CIN,BAL,34,BAL,0,470,389,1,0
134,20241117_BAL@PIT,PIT,BAL,18,PIT,1,303,329,1,3
135,20241117_BAL@PIT,BAL,PIT,16,PIT,0,329,303,3,1
136,20241125_BAL@LAC,LAC,BAL,23,LAC,1,285,389,0,0
137,20241125_BAL@LAC,BAL,LAC,30,LAC,0,389,285,0,0
138,20241201_PHI@BAL,BAL,PHI,19,BAL,1,372,252,0,0
139,20241201_PHI@BAL,PHI,BAL,24,BAL,0,252,372,0,0
140,20241215_BAL@NYG,NYG,BAL,14,NYG,1,236,445,1,1
141,20241215_BAL@NYG,BAL,NYG,35,NYG,0,445,236,1,1
142,20241221_PIT@BAL,BAL,PIT,34,BAL,1,418,315,1,2
143,20241221_PIT@BAL,PIT,BAL,17,BAL,0,315,418,2,1
144,20241225_BAL@HOU,HOU,BAL,2,HOU,1,211,432,1,0
145,20241225_BAL@HOU,BAL,HOU,31,HOU,0,432,211,0,1
146,20250104_CLE@BAL,BAL,CLE,35,BAL,1,437,230,0,2
147,20250104_CLE@BAL,CLE,BAL,10,BAL,0,230,437,2,0
148,20250111_PIT@BAL,BAL,PIT,28,BAL,1,464,280,0,0
149,20250111_PIT@BAL,PIT,BAL,14,BAL,0,280,464,0,0
150,20240908_PIT@ATL,ATL,PIT,10,ATL,1,226,270,3,0
151,20240908_PIT@ATL,PIT,ATL,18,ATL,0,270,226,0,3
152,20240915_PIT@DEN,DEN,PIT,6,DEN,1,295,251,2,0
153,20240915_PIT@DEN,PIT,DEN,13,DEN,0,251,295,0,2
154,20240922_LAC@PIT,PIT,LAC,20,PIT,1,346,166,1,0
155,20240922_LAC@PIT,LAC,PIT,10,PIT,0,166,346,0,1
156,20240929_PIT@IND,IND,PIT,27,IND,1,358,404,0,2
157,20240929_PIT@IND,PIT,IND,24,IND,0,404,358,2,0
158,20241006_DAL@PIT,PIT,DAL,17,PIT,1,226,445,1,3
159,20241006_DAL@PIT,DAL,PIT,20,PIT,0,445,226,3,1
160,20241013_PIT@LV,LV,PIT,13,LV,1,275,293,3,0
161,20241013_PIT@LV,PIT,LV,32,LV,0,293,275,0,3
162,20241028_NYG@PIT,PIT,NYG,26,PIT,1,426,394,1,2
163,20241028_NYG@PIT,NYG,PIT,18,PIT,0,394,426,2,1
164,20241110_PIT@WSH,WSH,PIT,27,WSH,1,242,312,1,2
165,20241110_PIT@WSH,PIT,WSH,28,WSH,0,312,242,2,1
166,20241121_PIT@CLE,CLE,PIT,24,CLE,1,304,368,3,1
167,20241121_PIT@CLE,PIT,CLE,19,CLE,0,368,304,1,3
168,20241201_PIT@CIN,CIN,PIT,38,CIN,1,375,520,3,1
169,20241201_PIT@CIN,PIT,CIN,44,CIN,0,520,375,1,3
170,20241208_CLE@PIT,PIT,CLE,27,PIT,1,267,300,1,3
171,20241208_CLE@PIT,CLE,PIT,14,PIT,0,300,267,3,1
172,20241215_PIT@PHI,PHI,PIT,27,PHI,1,401,163,2,1
173,20241215_PIT@PHI,PIT,PHI,13,PHI,0,163,401,1,2
174,20241225_KC@PIT,PIT,KC,10,PIT,1,364,389,2,0
175,20241225_KC@PIT,KC,PIT,29,PIT,0,389,364,0,2
176,20250104_CIN@PIT,PIT,CIN,17,PIT,1,193,314,1,2
177,20250104_CIN@PIT,CIN,PIT,19,PIT,0,314,193,2,1
178,20240915_CIN@KC,KC,CIN,26,KC,1,286,320,3,1
179,20240915_CIN@KC,CIN,KC,25,KC,0,320,286,1,3
180,20240923_WSH@CIN,CIN,WSH,33,CIN,1,436,356,0,0
181,20240923_WSH@CIN,WSH,CIN,38,CIN,0,356,436,0,0
182,20240929_CIN@CAR,CAR,CIN,24,CAR,1,375,373,1,1
183,20240929_CIN@CAR,CIN,CAR,34,CAR,0,373,375,1,1
184,20241013_CIN@NYG,NYG,CIN,7,NYG,1,309,304,1,1
185,20241013_CIN@NYG,CIN,NYG,17,NYG,0,304,309,1,1
186,20241020_CIN@CLE,CLE,CIN,14,CLE,1,336,223,2,0
187,20241020_CIN@CLE,CIN,CLE,21,CLE,0,223,336,0,2
188,20241027_PHI@CIN,CIN,PHI,17,CIN,1,280,397,2,0
189,20241027_PHI@CIN,PHI,CIN,37,CIN,0,397,280,0,2
190,20241103_LV@CIN,CIN,LV,41,CIN,1,373,217,1,2
191,20241103_LV@CIN,LV,CIN,24,CIN,0,217,373,2,1
192,20241117_CIN@LAC,LAC,CIN,34,LAC,1,435,452,1,0
193,20241117_CIN@LAC,CIN,LAC,27,LAC,0,452,435,0,1
194,20241209_CIN@DAL,DAL,CIN,20,DAL,1,322,433,2,1
195,20241209_CIN@DAL,CIN,DAL,27,DAL,0,433,322,1,2
196,20241215_CIN@TEN,TEN,CIN,27,TEN,1,374,370,6,4
197,20241215_CIN@TEN,CIN,TEN,37,TEN,0,370,374,4,6
198,20241222_CLE@CIN,CIN,CLE,24,CIN,1,326,273,1,3
199,20241222_CLE@CIN,CLE,CIN,6,CIN,0,273,326,3,1
200,20241228_DEN@CIN,CIN,DEN,30,CIN,1,499,329,1,1
201,20241228_DEN@CIN,DEN,CIN,24,CIN,0,329,499,1,1
202,20240908_DAL@CLE,CLE,DAL,17,CLE,1,230,265,2,0
203,20240908_DAL@CLE,DAL,CLE,33,CLE,0,265,230,0,2
204,20240915_CLE@JAX,JAX,CLE,13,JAX,1,323,297,0,0
205,20240915_CLE@JAX,CLE,JAX,18,JAX,0,297,323,0,0
206,20240922_NYG@CLE,CLE,NYG,15,CLE,1,217,340,2,2
207,20240922_NYG@CLE,NYG,CLE,21,CLE,0,340,217,2,2
208,20240929_CLE@LV,LV,CLE,20,LV,1,268,241,1,1
209,20240929_CLE@LV,CLE,LV,16,LV,0,241,268,1,1
210,20241006_CLE@WSH,WSH,CLE,34,WSH,1,434,212,2,1
211,20241006_CLE@WSH,CLE,WSH,13,WSH,0,212,434,1,2
212,20241013_CLE@PHI,PHI,CLE,20,PHI,1,372,244,0,0
213,20241013_CLE@PHI,CLE,PHI,16,PHI,0,244,372,0,0
214,20241103_LAC@CLE,CLE,LAC,10,CLE,1,292,342,3,0
215,20241103_LAC@CLE,LAC,CLE,27,CLE,0,342,292,0,3
216,20241117_CLE@NO,NO,CLE,35,NO,1,473,443,2,0
217,20241117_CLE@NO,CLE,NO,14,NO,0,443,473,0,2
218,20241202_CLE@DEN,DEN,CLE,41,DEN,1,400,552,2,3
219,20241202_CLE@DEN,CLE,DEN,32,DEN,0,552,400,3,2
220,20241215_KC@CLE,CLE,KC,7,CLE,1,266,311,6,0
221,20241215_KC@CLE,KC,CLE,21,CLE,0,311,266,0,6
222,20240908_HOU@IND,IND,HOU,27,IND,1,303,417,1,0
223,20240908_HOU@IND,HOU,IND,29,IND,0,417,303,0,1
224,20240915_CHI@HOU,HOU,CHI,19,HOU,1,310,205,1,2
225,20240915_CHI@HOU,CHI,HOU,13,HOU,0,205,310,2,1
226,20240922_HOU@MIN,MIN,HOU,34,MIN,1,274,296,0,2
227,20240922_HOU@MIN,HOU,MIN,7,MIN,0,296,274,2,0
228,20240929_JAX@HOU,HOU,JAX,24,HOU,1,435,313,1,0
229,20240929_JAX@HOU,JAX,HOU,20,HOU,0,313,435,0,1
230,20241020_HOU@GB,GB,HOU,24,GB,1,277,197,3,0
231,20241020_HOU@GB,HOU,GB,22,GB,0,197,277,0,3
232,20241027_IND@HOU,HOU,IND,23,HOU,1,363,303,1,2
233,20241027_IND@HOU,IND,HOU,20,HOU,0,303,363,2,1
234,20241110_DET@HOU,HOU,DET,23,HOU,1,248,345,2,5
235,20241110_DET@HOU,DET,HOU,26,HOU,0,345,248,5,2
236,20241118_HOU@DAL,DAL,HOU,10,DAL,1,388,391,2,1
237,20241118_HOU@DAL,HOU,DAL,34,DAL,0,391,388,1,2
238,20241124_TEN@HOU,HOU,TEN,27,HOU,1,260,369,2,3
239,20241124_TEN@HOU,TEN,HOU,32,HOU,0,369,260,3,2
240,20241201_HOU@JAX,JAX,HOU,20,JAX,1,373,326,1,0
241,20241201_HOU@JAX,HOU,JAX,23,JAX,0,326,373,0,1
242,20241221_HOU@KC,KC,HOU,27,KC,1,375,311,0,2
243,20241221_HOU@KC,HOU,KC,19,KC,0,311,375,2,0
244,20250105_HOU@TEN,TEN,HOU,14,TEN,1,314,374,1,1
245,20250105_HOU@TEN,HOU,TEN,23,TEN,0,374,314,1,1
246,20250111_LAC@HOU,HOU,LAC,32,HOU,1,429,261,3,4
247,20250111_LAC@HOU,LAC,HOU,12,HOU,0,261,429,4,3
248,20250118_HOU@KC,KC,HOU,23,KC,1,212,336,0,0
249,20250118_HOU@KC,HOU,KC,14,KC,0,336,212,0,0
250,20240915_IND@GB,GB,IND,16,GB,1,383,338,1,3
251,20240915_IND@GB,IND,GB,10,GB,0,338,383,3,1
252,20240922_CHI@IND,IND,CHI,21,IND,1,306,395,2,3
253,20240922_CHI@IND,CHI,IND,16,IND,0,395,306,3,2
254,20241006_IND@JAX,JAX,IND,37,JAX,1,497,447,2,1
255,20241006_IND@JAX,IND,JAX,34,JAX,0,447,497,1,2
256,20241013_IND@TEN,TEN,IND,17,TEN,1,241,269,1,1
257,20241013_IND@TEN,IND,TEN,20,TEN,0,269,241,1,1
258,20241103_IND@MIN,MIN,IND,21,MIN,1,415,227,3,2
259,20241103_IND@MIN,IND,MIN,13,MIN,0,227,415,2,3
260,20241124_DET@IND,IND,DET,6,IND,1,268,390,0,0
261,20241124_DET@IND,DET,IND,24,IND,0,390,268,0,0
262,20241215_IND@DEN,DEN,IND,31,DEN,1,193,310,3,5
263,20241215_IND@DEN,IND,DEN,13,DEN,0,310,193,5,3
264,20241222_TEN@IND,IND,TEN,38,IND,1,458,307,1,3
265,20241222_TEN@IND,TEN,IND,30,IND,0,307,458,3,1
266,20241229_IND@NYG,NYG,IND,45,NYG,1,389,446,0,3
